name,years_experience,skills,education,graduation_year,graduation_percentage,tenth_percentage,twelfth_percentage,tenth_school,twelfth_school,tenth_passing_out_year,twelfth_passing_out_year,Criteria_Label
Aditi,11,"R, Natural Language Processing (NLP), PyTorch, SciPy, Scikit-learn, Deep Learning, Apache Spark, Data Mining",B.Tech in Statistics at IIT Bombay,2005,63.97,81.75,67.8,include School,admit Higher Secondary School,2000,2002,0
Rahul,9,"Natural Language Processing (NLP), Keras, Data Visualization, TensorFlow, Big Data, Pandas, Data Mining, Apache Spark",M.Sc in Statistics at Jawaharlal Nehru University,2010,66.61,92.94,63.15,analysis School,hour Higher Secondary School,2005,2008,0
Yash,5,"SciPy, Scikit-learn, Apache Spark, Matplotlib, Pandas, Deep Learning, SQL, Predictive Modeling",M.E in Statistics at Delhi University,2016,67.48,92.15,91.87,but School,study Higher Secondary School,2013,2014,0
Diya,6,"Power BI, Apache Spark, Scikit-learn, Machine Learning, TensorFlow, SciPy, Statistical Analysis, Predictive Modeling",M.Tech in Statistics at IIT Bombay,2017,93.57,63.48,94.51,main School,shoulder Higher Secondary School,2012,2016,0
Sanya,4,"Predictive Modeling, R, TensorFlow, Natural Language Processing (NLP), Tableau, Data Visualization, NumPy, Apache Spark",B.Tech in Statistics at Anna University,2001,85.83,70.24,69.91,certainly School,certainly Higher Secondary School,1997,1999,0
Diya,2,"Data Visualization, NumPy, Hadoop, Deep Learning, Apache Spark, R, Machine Learning, Big Data",B.Sc in Statistics at IIT Delhi,2019,78.7,70.99,71.82,information School,instead Higher Secondary School,2017,2018,0
Aryan,1,"SciPy, Keras, Tableau, Big Data, Machine Learning, Predictive Modeling, Natural Language Processing (NLP), SQL",M.Sc in Statistics at IIT Delhi,2021,92.29,61.38,84.97,time School,sign Higher Secondary School,2018,2019,0
Aisha,5,"Matplotlib, Natural Language Processing (NLP), Power BI, NumPy, Machine Learning, SciPy, Big Data, Apache Spark",B.E in Statistics at IIM Calcutta,2002,64.73,76.63,90.68,try School,discover Higher Secondary School,1999,1998,0
Rohan,5,"Machine Learning, PyTorch, SQL, Scikit-learn, Big Data, Apache Spark, Keras, SciPy",M.Tech in Statistics at BITS Pilani,2017,89.14,62.15,87.21,activity School,most Higher Secondary School,2015,2015,0
Varun,11,"NumPy, Natural Language Processing (NLP), Matplotlib, Power BI, Python, Apache Spark, Data Visualization, Statistical Analysis",B.Sc in Statistics at IIT Kanpur,2021,68.96,60.02,91.94,century School,four Higher Secondary School,2017,2020,0
Aisha,3,"Matplotlib, NumPy, Power BI, PyTorch, Python, Scikit-learn, Data Mining, Hadoop",B.Tech in Statistics at Anna University,2011,89.79,84.2,74.88,position School,life Higher Secondary School,2007,2009,0
Aryan,7,"Python, R, Natural Language Processing (NLP), NumPy, Power BI, Scikit-learn, Predictive Modeling, PyTorch",M.Tech in Statistics at Jawaharlal Nehru University,2012,93.16,71.41,69.07,right School,others Higher Secondary School,2007,2010,0
Pranav,2,"Scikit-learn, Matplotlib, Natural Language Processing (NLP), Time Series Analysis, Big Data, PyTorch, Machine Learning, Power BI",B.Tech in Statistics at IIT Kharagpur,2015,88.13,89.01,78.73,camera School,firm Higher Secondary School,2012,2012,0
Varun,0,"Deep Learning, R, Keras, Power BI, Matplotlib, Apache Spark, Data Visualization, Scikit-learn",M.Tech in Statistics at IIT Bombay,2001,60.92,74.92,86.12,miss School,report Higher Secondary School,1997,2000,0
Anaya,3,"Hadoop, SciPy, Power BI, Predictive Modeling, TensorFlow, PyTorch, SQL, Scikit-learn",M.Sc in Statistics at IIT Kharagpur,2022,89.07,66.58,60.08,customer School,law Higher Secondary School,2020,2021,0
Ishika,0,"SciPy, Pandas, Matplotlib, Natural Language Processing (NLP), Hadoop, Predictive Modeling, R, Big Data",M.Sc in Statistics at IIM Bangalore,2002,65.22,68.36,86.45,science School,fear Higher Secondary School,2000,1998,0
Ishika,2,"Time Series Analysis, Power BI, NumPy, Natural Language Processing (NLP), SQL, Apache Spark, Big Data, Machine Learning",M.Tech in Statistics at NIT Warangal,2019,85.98,62.78,88.6,around School,probably Higher Secondary School,2017,2017,0
Neha,10,"Data Mining, Predictive Modeling, Hadoop, Big Data, Matplotlib, SciPy, TensorFlow, Apache Spark",M.Sc in Statistics at NIT Trichy,2020,63.04,78.44,62.33,save School,tough Higher Secondary School,2018,2018,0
Aarav,15,"PyTorch, Power BI, Data Visualization, Tableau, Predictive Modeling, Statistical Analysis, Deep Learning, Hadoop",M.Sc in Statistics at IIM Ahmedabad,2013,89.72,75.09,70.37,song School,fear Higher Secondary School,2011,2011,1
Mira,0,"Apache Spark, R, Time Series Analysis, SciPy, Natural Language Processing (NLP), SQL, Power BI, Tableau",M.E in Statistics at Jawaharlal Nehru University,2013,94.2,94.47,82.05,full School,raise Higher Secondary School,2010,2012,0
Vikram,13,"Natural Language Processing (NLP), Predictive Modeling, Data Visualization, Time Series Analysis, Matplotlib, Deep Learning, Machine Learning, Apache Spark",B.Sc in Statistics at IIM Lucknow,2010,63.71,88.02,71.48,TV School,sound Higher Secondary School,2007,2009,0
Neha,8,"TensorFlow, Python, Natural Language Processing (NLP), Hadoop, Time Series Analysis, Statistical Analysis, Matplotlib, SciPy",B.Sc in Statistics at Delhi University,2007,77.86,85.44,82.07,high School,four Higher Secondary School,2003,2003,1
Rahul,11,"Natural Language Processing (NLP), Data Mining, SciPy, Hadoop, Matplotlib, R, Scikit-learn, Machine Learning",M.E in Statistics at Anna University,2022,74.36,94.75,84.57,church School,benefit Higher Secondary School,2017,2021,1
Anaya,12,"Data Mining, Time Series Analysis, SciPy, Natural Language Processing (NLP), Keras, Apache Spark, Scikit-learn, SQL",B.Sc in Statistics at Jawaharlal Nehru University,2009,71.65,94.79,66.19,responsibility School,money Higher Secondary School,2005,2005,0
Varun,13,"Apache Spark, Big Data, Predictive Modeling, SQL, PyTorch, R, Deep Learning, SciPy",B.Sc in Statistics at IIT Delhi,2000,60.75,81.92,70.07,today School,catch Higher Secondary School,1997,1996,0
Aryan,7,"Python, Matplotlib, TensorFlow, Deep Learning, Keras, Time Series Analysis, Apache Spark, Tableau",M.Tech in Statistics at IIT Roorkee,2015,63.84,73.88,72.59,finish School,fish Higher Secondary School,2012,2011,0
Aryan,4,"PyTorch, Python, Hadoop, Matplotlib, R, Keras, Pandas, NumPy",M.Sc in Statistics at IIT Roorkee,2004,73.9,77.1,76.83,dream School,gun Higher Secondary School,1999,2002,0
Aryan,3,"Python, Power BI, R, Apache Spark, PyTorch, SciPy, Keras, Matplotlib",M.E in Statistics at IIT Bombay,2009,82.39,69.41,82.32,light School,TV Higher Secondary School,2005,2006,0
Arjun,15,"SciPy, SQL, R, Hadoop, Python, Data Visualization, Deep Learning, PyTorch",M.Tech in Statistics at IIT Delhi,2007,72.81,75.72,67.64,plant School,person Higher Secondary School,2005,2003,0
Neha,8,"NumPy, Hadoop, Machine Learning, SQL, TensorFlow, Natural Language Processing (NLP), Power BI, Statistical Analysis",M.Sc in Statistics at IIT Kharagpur,2017,63.69,66.81,85.68,side School,worry Higher Secondary School,2012,2013,0
Mira,9,"SciPy, Hadoop, R, Big Data, Apache Spark, Predictive Modeling, PyTorch, Data Mining",B.Tech in Statistics at IIT Kanpur,2007,60.91,86.45,81.15,meet School,thank Higher Secondary School,2003,2004,0
Pranav,8,"Pandas, SQL, Apache Spark, NumPy, TensorFlow, Predictive Modeling, Hadoop, Matplotlib",B.Tech in Statistics at Anna University,2000,69.06,70.63,75.51,land School,strategy Higher Secondary School,1997,1998,0
Aryan,9,"Keras, Time Series Analysis, SQL, Matplotlib, Python, Apache Spark, PyTorch, Predictive Modeling",B.Tech in Statistics at Delhi University,2010,69.2,92.51,74.82,citizen School,business Higher Secondary School,2005,2007,0
Arjun,7,"PyTorch, TensorFlow, Keras, Hadoop, Pandas, Power BI, Machine Learning, Matplotlib",M.Tech in Statistics at IIM Calcutta,2021,63.34,75.21,65.77,blood School,animal Higher Secondary School,2017,2020,0
Aditi,4,"SciPy, Time Series Analysis, Power BI, TensorFlow, Pandas, SQL, Data Mining, Deep Learning",M.E in Statistics at IIT Kharagpur,2014,62.18,73.67,81.69,direction School,capital Higher Secondary School,2010,2012,0
Aryan,14,"NumPy, Deep Learning, Big Data, Time Series Analysis, Apache Spark, Power BI, Matplotlib, R",M.E in Statistics at IISc Bangalore,2002,89.89,77.98,83.5,third School,sing Higher Secondary School,1998,2001,1
Sanya,4,"Predictive Modeling, Statistical Analysis, Scikit-learn, Deep Learning, PyTorch, Data Mining, SQL, TensorFlow",M.Sc in Statistics at IISc Bangalore,2004,69.44,81.64,90.49,away School,ask Higher Secondary School,2000,2002,0
Vikram,0,"Data Mining, Tableau, Machine Learning, Hadoop, NumPy, Natural Language Processing (NLP), Pandas, Deep Learning",M.Tech in Statistics at IIT Kanpur,2016,77.44,74.15,65.9,skill School,four Higher Secondary School,2011,2013,0
Aisha,13,"Scikit-learn, NumPy, Machine Learning, Matplotlib, SciPy, Data Visualization, Predictive Modeling, PyTorch",M.Sc in Statistics at IIFT Delhi,2017,84.96,70.14,87.79,need School,movement Higher Secondary School,2013,2016,1
Mira,1,"PyTorch, Deep Learning, NumPy, Natural Language Processing (NLP), Python, Data Visualization, Predictive Modeling, Tableau",B.Sc in Statistics at BITS Pilani,2006,79.73,92.04,68.89,charge School,raise Higher Secondary School,2001,2004,0
Rahul,0,"Time Series Analysis, Data Mining, NumPy, Statistical Analysis, Python, Apache Spark, Scikit-learn, Pandas",M.Tech in Statistics at IIT Roorkee,2005,75.03,78.68,63.55,build School,go Higher Secondary School,2001,2002,0
Aarav,1,"Hadoop, NumPy, Matplotlib, Pandas, Time Series Analysis, Apache Spark, Big Data, R",B.Sc in Statistics at NIT Warangal,2022,70.56,67.1,78.07,water School,try Higher Secondary School,2020,2020,0
Rohan,2,"Time Series Analysis, Tableau, NumPy, Predictive Modeling, Machine Learning, Scikit-learn, Data Mining, Power BI",M.Sc in Statistics at IIM Bangalore,2008,67.85,62.99,83.23,large School,democratic Higher Secondary School,2004,2006,0
Sanya,13,"Machine Learning, SciPy, Keras, Predictive Modeling, Python, Time Series Analysis, Statistical Analysis, Data Visualization",B.Sc in Statistics at IIT Kharagpur,2010,62.34,63.72,72.79,land School,rock Higher Secondary School,2007,2006,0
Vikram,5,"PyTorch, Statistical Analysis, Apache Spark, Python, Tableau, Deep Learning, Natural Language Processing (NLP), Big Data",M.Sc in Statistics at IIT Delhi,2011,73.69,60.51,93.78,reach School,spend Higher Secondary School,2009,2007,0
Yash,10,"Data Mining, Big Data, Data Visualization, SQL, Predictive Modeling, Pandas, NumPy, PyTorch",B.Sc in Statistics at IIT Kharagpur,2020,88.09,84.88,82.48,plan School,far Higher Secondary School,2016,2016,1
Yash,9,"Data Visualization, PyTorch, Big Data, Machine Learning, SQL, NumPy, Data Mining, R",B.Tech in Statistics at IIFT Delhi,2011,64.88,93.25,67.81,small School,ahead Higher Secondary School,2009,2008,0
Ishika,3,"Time Series Analysis, Predictive Modeling, Machine Learning, Data Visualization, Pandas, PyTorch, Power BI, R",M.Tech in Statistics at IIM Bangalore,2006,85.59,74.21,69.14,area School,somebody Higher Secondary School,2004,2003,0
Anaya,1,"Machine Learning, SQL, Statistical Analysis, TensorFlow, Natural Language Processing (NLP), Big Data, Tableau, Python",M.Sc in Statistics at IIM Ahmedabad,2001,84.92,92.25,81.55,play School,speech Higher Secondary School,1998,2000,0
Rahul,6,"Power BI, R, Apache Spark, Natural Language Processing (NLP), Tableau, NumPy, Scikit-learn, Data Mining",M.E in Statistics at IIM Lucknow,2015,64.89,72.34,77.94,event School,manager Higher Secondary School,2013,2013,0
Aarav,5,"NumPy, Scikit-learn, Apache Spark, Python, Data Mining, Tableau, PyTorch, Keras",B.E in Statistics at IISc Bangalore,2008,63.91,73.14,91.97,himself School,still Higher Secondary School,2003,2004,0
Ishita,2,"Deep Learning, TensorFlow, Natural Language Processing (NLP), Machine Learning, Power BI, Big Data, Tableau, Data Mining",M.Tech in Statistics at IIFT Delhi,2004,94.32,94.5,86.71,plant School,dinner Higher Secondary School,1999,2003,0
Anaya,7,"Natural Language Processing (NLP), SQL, SciPy, Machine Learning, Hadoop, Scikit-learn, Big Data, R",B.Sc in Statistics at IIT Kanpur,2017,77.62,70.63,73.94,positive School,skin Higher Secondary School,2014,2013,1
Aisha,9,"Python, SciPy, Tableau, Statistical Analysis, Natural Language Processing (NLP), Matplotlib, R, Machine Learning",M.E in Statistics at IIT Kanpur,2019,80.83,65.98,67.3,time School,he Higher Secondary School,2016,2015,0
Diya,0,"Natural Language Processing (NLP), Tableau, Scikit-learn, Keras, PyTorch, NumPy, TensorFlow, Data Visualization",B.E in Statistics at IIT Kanpur,2018,77.16,82.37,89.85,matter School,clear Higher Secondary School,2016,2016,0
Ishita,2,"Big Data, Power BI, R, Scikit-learn, Deep Learning, Statistical Analysis, TensorFlow, Natural Language Processing (NLP)",B.Tech in Statistics at IIFT Delhi,2019,66.12,74.99,77.85,sell School,for Higher Secondary School,2016,2018,0
Anaya,6,"TensorFlow, Pandas, Matplotlib, Data Mining, NumPy, Data Visualization, SciPy, Natural Language Processing (NLP)",B.Tech in Statistics at IISc Bangalore,2004,70.37,88.38,85.08,young School,know Higher Secondary School,1999,2001,1
Ravi,9,"Scikit-learn, Apache Spark, PyTorch, Data Mining, Deep Learning, Predictive Modeling, R, NumPy",B.Tech in Statistics at Jawaharlal Nehru University,2005,79.85,73.32,82.07,smile School,remain Higher Secondary School,2003,2001,1
Aarav,11,"Tableau, PyTorch, Predictive Modeling, Apache Spark, Natural Language Processing (NLP), TensorFlow, Matplotlib, Scikit-learn",M.Sc in Statistics at IISc Bangalore,2009,78.19,80.45,67.06,security School,city Higher Secondary School,2005,2005,0
Rahul,4,"Pandas, Machine Learning, SQL, SciPy, Power BI, Hadoop, R, Natural Language Processing (NLP)",M.Sc in Statistics at IIFT Delhi,2003,85.68,67.8,78.72,language School,different Higher Secondary School,1999,1999,0
Anaya,9,"Time Series Analysis, R, Keras, Deep Learning, Matplotlib, Apache Spark, PyTorch, SQL",B.Tech in Statistics at IISc Bangalore,2016,75.97,79.22,82.45,rate School,him Higher Secondary School,2013,2014,1
Varun,4,"R, SQL, Data Mining, Tableau, Time Series Analysis, Big Data, Predictive Modeling, Apache Spark",M.Sc in Statistics at IIT Delhi,2018,64.65,88.03,79.06,by School,mind Higher Secondary School,2016,2016,0
Rohan,5,"Tableau, SciPy, Time Series Analysis, Statistical Analysis, PyTorch, SQL, Apache Spark, Natural Language Processing (NLP)",M.E in Statistics at IIT Roorkee,2010,78.87,60.06,69.4,ever School,them Higher Secondary School,2008,2007,0
Vikram,7,"Scikit-learn, PyTorch, Natural Language Processing (NLP), Deep Learning, Statistical Analysis, Keras, Time Series Analysis, Data Visualization",M.Tech in Statistics at IIM Bangalore,2011,66.62,85.17,77.64,option School,wind Higher Secondary School,2009,2007,0
Ravi,15,"R, Hadoop, Power BI, Data Mining, Python, NumPy, Keras, Statistical Analysis",B.Tech in Statistics at NIT Warangal,2014,74.2,67.19,87.54,herself School,every Higher Secondary School,2010,2011,0
Anaya,9,"Matplotlib, Hadoop, Machine Learning, Tableau, Deep Learning, Python, R, Data Visualization",B.E in Statistics at BITS Pilani,2014,60.39,83.57,65.15,with School,off Higher Secondary School,2012,2010,0
Anaya,15,"Scikit-learn, Big Data, Predictive Modeling, SciPy, Statistical Analysis, TensorFlow, Data Visualization, Data Mining",B.Sc in Statistics at BITS Pilani,2001,91.71,85.7,66.65,page School,behavior Higher Secondary School,1999,1997,0
Neha,8,"Deep Learning, Statistical Analysis, Apache Spark, Hadoop, Keras, NumPy, Big Data, Time Series Analysis",B.Tech in Statistics at Jawaharlal Nehru University,2002,70.98,79.43,63.32,national School,learn Higher Secondary School,1997,2000,0
Aarav,4,"Machine Learning, Natural Language Processing (NLP), Big Data, Matplotlib, Statistical Analysis, Predictive Modeling, Hadoop, NumPy",B.E in Statistics at IIT Delhi,2019,80.29,80.46,89.91,threat School,paper Higher Secondary School,2016,2016,0
Ishita,3,"Data Visualization, Natural Language Processing (NLP), Keras, Power BI, Hadoop, Time Series Analysis, Statistical Analysis, Python",B.Sc in Statistics at IISc Bangalore,2012,90.92,91.56,83.29,seat School,nice Higher Secondary School,2009,2010,0
Ravi,0,"Power BI, Keras, Machine Learning, SQL, Natural Language Processing (NLP), Data Mining, Time Series Analysis, Apache Spark",M.Tech in Statistics at IIM Bangalore,2009,92.61,83.19,68.32,kitchen School,each Higher Secondary School,2004,2007,0
Arjun,9,"Time Series Analysis, Natural Language Processing (NLP), Keras, Data Mining, Pandas, Python, Machine Learning, Deep Learning",M.Sc in Statistics at IIT Delhi,2004,64.52,63.0,86.99,turn School,six Higher Secondary School,2001,2002,0
Aryan,11,"SQL, Pandas, R, Time Series Analysis, Statistical Analysis, Keras, Python, SciPy",M.Sc in Statistics at NIT Trichy,2020,88.84,94.03,79.45,population School,try Higher Secondary School,2017,2016,1
Neha,12,"Data Visualization, Python, Machine Learning, Power BI, PyTorch, Keras, Apache Spark, Tableau",B.Tech in Statistics at IIFT Delhi,2022,66.59,93.83,71.4,size School,whose Higher Secondary School,2020,2018,0
Anaya,7,"Python, Predictive Modeling, R, Tableau, Matplotlib, Natural Language Processing (NLP), Big Data, Hadoop",B.Sc in Statistics at IIT Bombay,2002,86.96,83.53,67.08,style School,where Higher Secondary School,2000,2000,0
Neha,0,"Apache Spark, SciPy, Pandas, Scikit-learn, Machine Learning, Tableau, Big Data, Time Series Analysis",B.E in Statistics at Anna University,2008,90.69,65.2,63.15,possible School,realize Higher Secondary School,2004,2007,0
Sanya,9,"NumPy, Apache Spark, Data Mining, R, Tableau, Big Data, Python, TensorFlow",B.Sc in Statistics at IIM Lucknow,2009,84.62,62.02,84.39,someone School,above Higher Secondary School,2007,2005,0
Rahul,12,"R, Apache Spark, Statistical Analysis, SQL, NumPy, Natural Language Processing (NLP), Machine Learning, Big Data",M.E in Statistics at IIM Lucknow,2015,73.83,85.98,65.94,key School,this Higher Secondary School,2011,2014,0
Aditi,5,"PyTorch, Deep Learning, SciPy, Predictive Modeling, Power BI, Data Mining, NumPy, Hadoop",M.Sc in Statistics at IIM Ahmedabad,2012,73.94,79.65,94.29,heart School,different Higher Secondary School,2007,2009,1
Ishika,2,"Predictive Modeling, Statistical Analysis, Tableau, SciPy, Big Data, Python, SQL, Power BI",M.Tech in Statistics at IIT Kharagpur,2012,63.54,64.88,60.49,piece School,summer Higher Secondary School,2008,2011,0
Vikram,0,"Time Series Analysis, SciPy, Deep Learning, Matplotlib, Tableau, TensorFlow, Scikit-learn, Natural Language Processing (NLP)",M.Sc in Statistics at IISc Bangalore,2017,73.54,60.83,68.03,unit School,fight Higher Secondary School,2013,2016,0
Rahul,9,"Keras, Statistical Analysis, Data Visualization, Tableau, R, SQL, Time Series Analysis, NumPy",M.Tech in Statistics at NIT Warangal,2007,79.59,69.89,67.79,be School,production Higher Secondary School,2002,2005,0
Neha,6,"Hadoop, Machine Learning, SciPy, Predictive Modeling, Natural Language Processing (NLP), Pandas, Data Mining, Power BI",M.Sc in Statistics at IIT Roorkee,2001,90.51,85.49,66.05,she School,perhaps Higher Secondary School,1997,1999,0
Mira,10,"Statistical Analysis, Deep Learning, Time Series Analysis, Scikit-learn, Power BI, SciPy, Hadoop, Data Visualization",M.E in Statistics at IIT Delhi,2001,83.54,64.02,70.41,effect School,method Higher Secondary School,1998,1999,0
Diya,7,"Time Series Analysis, Statistical Analysis, Data Mining, SciPy, Pandas, Power BI, Natural Language Processing (NLP), Machine Learning",B.Tech in Statistics at Jawaharlal Nehru University,2006,75.72,69.5,93.67,service School,forget Higher Secondary School,2001,2004,0
Mira,6,"SciPy, PyTorch, Hadoop, Time Series Analysis, Power BI, Deep Learning, Statistical Analysis, Machine Learning",B.E in Statistics at IIM Bangalore,2013,78.85,81.6,84.89,you School,social Higher Secondary School,2009,2009,1
Ishika,2,"SciPy, Predictive Modeling, Pandas, Matplotlib, Deep Learning, Big Data, Statistical Analysis, Apache Spark",B.Sc in Statistics at IIM Lucknow,2013,79.51,87.54,75.09,ahead School,power Higher Secondary School,2009,2012,0
Neha,1,"Time Series Analysis, Natural Language Processing (NLP), Predictive Modeling, SQL, Data Visualization, Power BI, Apache Spark, NumPy",M.Sc in Statistics at IIT Roorkee,2019,61.69,94.39,87.93,garden School,loss Higher Secondary School,2014,2015,0
Ishita,0,"Time Series Analysis, Data Mining, Natural Language Processing (NLP), Predictive Modeling, R, Power BI, Deep Learning, PyTorch",B.E in Statistics at Anna University,2021,92.24,63.61,71.02,something School,around Higher Secondary School,2017,2018,0
Rahul,8,"SQL, Matplotlib, Power BI, Data Visualization, R, NumPy, Natural Language Processing (NLP), SciPy",B.E in Statistics at Anna University,2016,88.23,67.56,64.56,whose School,media Higher Secondary School,2014,2015,0
Yash,3,"Deep Learning, Time Series Analysis, Python, TensorFlow, Keras, Machine Learning, Big Data, Matplotlib",B.Sc in Statistics at BITS Pilani,2015,68.73,75.09,92.87,thing School,someone Higher Secondary School,2013,2014,0
Kiran,13,"Predictive Modeling, Power BI, Matplotlib, SQL, Statistical Analysis, Keras, Apache Spark, Natural Language Processing (NLP)",M.Sc in Statistics at IIT Madras,2007,78.89,71.13,86.25,tree School,three Higher Secondary School,2004,2005,1
Varun,9,"Matplotlib, Data Mining, Statistical Analysis, Scikit-learn, R, Pandas, Data Visualization, TensorFlow",B.Sc in Statistics at IIM Ahmedabad,2012,64.77,63.19,86.44,also School,group Higher Secondary School,2008,2010,0
Ravi,3,"Natural Language Processing (NLP), PyTorch, Pandas, SciPy, Python, Statistical Analysis, SQL, Machine Learning",B.Sc in Statistics at Jawaharlal Nehru University,2002,86.57,77.89,68.2,firm School,that Higher Secondary School,1999,1999,0
Anaya,9,"Pandas, Keras, SQL, PyTorch, Machine Learning, Power BI, Tableau, Predictive Modeling",B.E in Statistics at IIM Calcutta,2020,86.88,69.03,83.55,fund School,water Higher Secondary School,2015,2019,0
Varun,15,"Tableau, Data Mining, Matplotlib, SQL, Apache Spark, Keras, Machine Learning, R",M.Tech in Statistics at Delhi University,2006,76.09,70.31,77.91,interview School,sound Higher Secondary School,2001,2002,1
Arjun,2,"Python, Scikit-learn, Deep Learning, Big Data, Tableau, Apache Spark, Keras, Power BI",B.E in Statistics at IIT Kharagpur,2021,81.93,62.55,84.33,lawyer School,own Higher Secondary School,2016,2019,0
Ishita,15,"Predictive Modeling, Matplotlib, NumPy, Data Mining, PyTorch, Big Data, SQL, Tableau",M.Sc in Statistics at NIT Warangal,2013,81.17,85.68,85.25,anything School,growth Higher Secondary School,2009,2012,1
