name,years_experience,skills,education,graduation_year,graduation_percentage,tenth_percentage,twelfth_percentage,tenth_school,twelfth_school,tenth_passing_out_year,twelfth_passing_out_year,Criteria_Label
Aditi,6,"GitHub, RESTful API, Express.js, Node.js, GraphQL, SASS, CSS, Bootstrap",M.Tech in Computer Science at IIFT Delhi,2015,85.2,73.85,82.17,few School,especially Higher Secondary School,2012,2014,1
Yash,15,"JavaScript, Bootstrap, LESS, Django, GraphQL, jQuery, Responsive Web Design, Express.js",MCA in Computer Science at IIT Bombay,2020,86.75,86.71,81.4,indeed School,full Higher Secondary School,2018,2018,1
Kiran,11,"Express.js, Django, GitHub, Git, LESS, Webpack, HTML, CSS",BCA in Computer Science at Delhi University,2006,92.78,68.48,93.02,act School,car Higher Secondary School,2002,2005,0
Mira,8,"React, CSS, RESTful API, GraphQL, SASS, GitLab, Flask, Git",M.E in Computer Science at IIT Bombay,2017,86.27,61.58,91.02,what School,door Higher Secondary School,2013,2013,0
Aryan,10,"JavaScript, GitHub, RESTful API, Flask, Git, HTML, Node.js, React",MCA in Computer Science at Jawaharlal Nehru University,2009,80.15,62.61,68.37,hundred School,score Higher Secondary School,2007,2006,0
Ravi,9,"Django, GitLab, Express.js, Node.js, jQuery, Angular, SASS, CSS",M.Tech in Computer Science at Jawaharlal Nehru University,2003,90.27,67.71,93.56,second School,onto Higher Secondary School,2000,2001,0
Pranav,3,"Webpack, Flask, GraphQL, Django, Responsive Web Design, jQuery, JavaScript, SASS",B.Tech in Computer Science at Delhi University,2005,67.04,61.05,90.82,no School,beautiful Higher Secondary School,2003,2003,0
Vikram,12,"JavaScript, Webpack, RESTful API, GraphQL, Bootstrap, Node.js, Vue.js, Git",B.E in Computer Science at IIM Calcutta,2001,71.1,93.6,67.43,increase School,just Higher Secondary School,1997,1998,0
Rohan,5,"CSS, Express.js, Git, Flask, jQuery, GitLab, Webpack, RESTful API",B.E in Computer Science at IIT Roorkee,2003,74.52,80.37,78.15,focus School,media Higher Secondary School,2001,2002,1
Mira,9,"GitHub, GraphQL, Angular, HTML, Django, Flask, Webpack, LESS",BCA in Computer Science at IIT Roorkee,2019,68.56,67.16,66.43,entire School,among Higher Secondary School,2016,2016,0
Arjun,3,"Bootstrap, LESS, Responsive Web Design, Flask, GitHub, GitLab, Express.js, GraphQL",M.E in Computer Science at IIM Ahmedabad,2018,80.01,90.27,69.66,face School,agreement Higher Secondary School,2015,2014,0
Ishika,11,"Flask, GitLab, Node.js, Django, CSS, SASS, GraphQL, Vue.js",M.Tech in Computer Science at IIT Madras,2022,60.01,77.54,68.7,whatever School,say Higher Secondary School,2020,2019,0
Kiran,2,"Flask, HTML, RESTful API, CSS, JavaScript, Angular, SASS, GraphQL",B.Tech in Computer Science at NIT Trichy,2018,72.61,72.15,85.93,especially School,type Higher Secondary School,2013,2014,0
Pranav,6,"React, Node.js, GraphQL, Vue.js, CSS, JavaScript, Git, HTML",MCA in Computer Science at Jawaharlal Nehru University,2018,62.23,87.46,61.0,majority School,why Higher Secondary School,2014,2014,0
Ravi,10,"HTML, GitHub, jQuery, Bootstrap, GraphQL, Git, Webpack, Angular",B.E in Computer Science at Delhi University,2016,60.18,66.37,72.04,appear School,from Higher Secondary School,2011,2013,0
Ravi,6,"GraphQL, jQuery, Flask, React, CSS, Webpack, LESS, Vue.js",M.Tech in Computer Science at IIT Madras,2004,76.79,74.03,91.11,break School,cup Higher Secondary School,2001,2001,1
Ishita,10,"RESTful API, Responsive Web Design, Flask, Node.js, Git, SASS, JavaScript, Vue.js",M.Tech in Computer Science at Delhi University,2000,63.97,66.17,88.7,though School,hear Higher Secondary School,1996,1998,0
Rohan,9,"JavaScript, GitLab, Django, Responsive Web Design, Git, Angular, Express.js, React",B.E in Computer Science at IIM Calcutta,2020,93.55,71.17,75.12,late School,prepare Higher Secondary School,2016,2017,1
Ishika,1,"GitHub, React, Vue.js, GraphQL, Django, Angular, Express.js, GitLab",B.E in Computer Science at IIT Kharagpur,2016,64.31,65.96,80.4,both School,wife Higher Secondary School,2012,2015,0
Anaya,8,"Django, Bootstrap, Node.js, Angular, Responsive Web Design, RESTful API, JavaScript, GitLab",BCA in Computer Science at IIT Roorkee,2004,84.13,83.53,66.25,commercial School,hope Higher Secondary School,2000,2003,0
Anaya,1,"CSS, JavaScript, LESS, GitHub, React, Bootstrap, jQuery, RESTful API",M.E in Computer Science at IIT Kharagpur,2013,76.51,66.31,73.69,analysis School,star Higher Secondary School,2008,2010,0
Aryan,2,"Vue.js, Bootstrap, Express.js, Node.js, React, jQuery, HTML, Flask",B.E in Computer Science at IIT Roorkee,2011,73.56,74.05,81.15,forget School,represent Higher Secondary School,2008,2010,0
Diya,3,"LESS, Django, Node.js, Vue.js, CSS, HTML, Bootstrap, GraphQL",M.E in Computer Science at Anna University,2002,71.52,84.85,67.34,training School,place Higher Secondary School,1999,2001,0
Neha,8,"JavaScript, Git, Responsive Web Design, GitHub, Flask, React, LESS, Node.js",MCA in Computer Science at IIT Roorkee,2017,86.22,94.07,74.7,family School,president Higher Secondary School,2015,2016,1
Ishita,10,"Node.js, CSS, React, RESTful API, Git, GraphQL, Angular, GitHub",M.E in Computer Science at IIT Roorkee,2010,80.76,79.36,71.43,season School,detail Higher Secondary School,2008,2008,1
Vikram,14,"CSS, React, SASS, Webpack, GraphQL, LESS, Responsive Web Design, Vue.js",B.Tech in Computer Science at IISc Bangalore,2015,94.65,88.3,74.63,be School,keep Higher Secondary School,2012,2011,1
Aditi,6,"Angular, CSS, RESTful API, Bootstrap, SASS, GitLab, Express.js, Responsive Web Design",BCA in Computer Science at IIT Delhi,2002,61.13,92.34,86.93,game School,degree Higher Secondary School,1998,2001,0
Ishita,7,"Webpack, Responsive Web Design, Bootstrap, Django, Angular, Git, Express.js, React",B.Tech in Computer Science at IIM Lucknow,2007,87.0,74.08,60.8,concern School,behavior Higher Secondary School,2003,2005,0
Kiran,13,"React, Node.js, Flask, JavaScript, GitHub, Bootstrap, Express.js, LESS",B.Tech in Computer Science at IIFT Delhi,2012,86.0,89.26,91.04,job School,Congress Higher Secondary School,2007,2011,1
Aryan,1,"LESS, CSS, Bootstrap, SASS, React, Git, JavaScript, Vue.js",MCA in Computer Science at IIT Roorkee,2010,62.23,65.08,65.59,recently School,else Higher Secondary School,2005,2007,0
Diya,12,"Angular, Webpack, Git, jQuery, GraphQL, React, Bootstrap, Flask",BCA in Computer Science at IIT Kanpur,2010,71.28,62.34,81.17,rich School,once Higher Secondary School,2006,2009,0
Neha,13,"Angular, jQuery, SASS, HTML, Bootstrap, GitLab, Webpack, React",M.Tech in Computer Science at NIT Trichy,2006,81.71,86.87,91.22,defense School,structure Higher Secondary School,2004,2002,1
Ishita,11,"JavaScript, Webpack, Node.js, Angular, Express.js, Bootstrap, GraphQL, GitHub",B.Tech in Computer Science at IIM Ahmedabad,2018,94.42,86.87,69.81,total School,possible Higher Secondary School,2014,2015,0
Ravi,6,"Express.js, React, GraphQL, jQuery, GitLab, Django, Node.js, Git",BCA in Computer Science at IIT Kharagpur,2018,80.86,80.34,87.56,box School,really Higher Secondary School,2015,2017,1
Aryan,10,"Node.js, LESS, GitLab, Bootstrap, Webpack, Express.js, Angular, GraphQL",M.Tech in Computer Science at NIT Warangal,2015,76.8,68.15,73.25,sister School,Democrat Higher Secondary School,2013,2014,0
Neha,15,"Responsive Web Design, Express.js, Bootstrap, jQuery, CSS, Django, RESTful API, GitHub",M.E in Computer Science at IIM Lucknow,2002,72.95,69.68,61.74,benefit School,best Higher Secondary School,1997,2000,0
Mira,10,"HTML, React, Git, Vue.js, Webpack, JavaScript, Django, RESTful API",BCA in Computer Science at IIFT Delhi,2002,92.86,92.75,63.48,rest School,might Higher Secondary School,2000,1999,0
Yash,8,"Responsive Web Design, Webpack, GitLab, GraphQL, Vue.js, React, RESTful API, HTML",M.Tech in Computer Science at IIT Kanpur,2007,86.05,69.87,92.05,risk School,local Higher Secondary School,2002,2005,0
Yash,0,"Vue.js, RESTful API, Bootstrap, Responsive Web Design, CSS, Angular, Express.js, SASS",M.Tech in Computer Science at BITS Pilani,2003,66.55,80.4,91.86,cultural School,nearly Higher Secondary School,2000,1999,0
Varun,6,"Django, Bootstrap, jQuery, GitHub, Flask, Git, SASS, JavaScript",M.Tech in Computer Science at IIT Madras,2014,68.08,89.17,68.13,clearly School,lot Higher Secondary School,2009,2012,0
Pranav,3,"GitHub, Angular, Django, HTML, Node.js, LESS, GitLab, SASS",MCA in Computer Science at IIT Bombay,2020,76.8,62.8,76.9,fish School,market Higher Secondary School,2016,2018,0
Yash,14,"GitLab, GraphQL, Django, SASS, HTML, Express.js, LESS, Angular",MCA in Computer Science at IIT Madras,2007,71.47,93.36,75.76,different School,serious Higher Secondary School,2004,2005,1
Ravi,1,"HTML, Angular, React, SASS, Webpack, RESTful API, Express.js, Responsive Web Design",BCA in Computer Science at IIT Bombay,2018,70.78,94.52,83.98,strong School,bring Higher Secondary School,2016,2017,0
Rahul,15,"Flask, JavaScript, Webpack, GitHub, Bootstrap, Responsive Web Design, Angular, React",B.E in Computer Science at IISc Bangalore,2020,84.6,71.29,76.9,now School,adult Higher Secondary School,2015,2017,1
Pranav,4,"JavaScript, CSS, Express.js, Vue.js, React, LESS, RESTful API, Node.js",MCA in Computer Science at IIM Ahmedabad,2021,70.56,90.28,81.89,politics School,according Higher Secondary School,2017,2017,0
Rahul,12,"LESS, Express.js, Flask, Responsive Web Design, Git, GraphQL, Node.js, GitHub",M.E in Computer Science at IIT Madras,2003,73.86,72.24,87.32,treatment School,role Higher Secondary School,1998,2002,1
Mira,2,"Flask, RESTful API, Vue.js, Bootstrap, CSS, Django, GitLab, HTML",BCA in Computer Science at IIM Calcutta,2017,78.73,61.2,74.78,score School,space Higher Secondary School,2012,2014,0
Sanya,5,"CSS, Bootstrap, Express.js, JavaScript, RESTful API, GraphQL, Webpack, Django",M.E in Computer Science at NIT Trichy,2012,60.59,69.09,74.07,cause School,meet Higher Secondary School,2007,2009,0
Vikram,2,"Node.js, jQuery, CSS, React, Django, Angular, Webpack, GraphQL",M.Tech in Computer Science at IIM Lucknow,2013,62.12,73.82,89.54,suffer School,south Higher Secondary School,2009,2009,0
Ravi,11,"jQuery, Django, SASS, JavaScript, Flask, React, Responsive Web Design, HTML",B.Tech in Computer Science at IIM Bangalore,2009,77.87,64.33,91.5,high School,win Higher Secondary School,2007,2006,0
Neha,9,"GitLab, CSS, HTML, JavaScript, Vue.js, Django, Webpack, GraphQL",M.E in Computer Science at IISc Bangalore,2007,65.11,91.71,70.39,laugh School,whole Higher Secondary School,2004,2006,0
Neha,5,"Vue.js, Webpack, GitLab, Flask, GitHub, LESS, RESTful API, GraphQL",M.Tech in Computer Science at NIT Trichy,2007,70.99,63.61,77.54,sign School,set Higher Secondary School,2005,2003,0
Sanya,3,"Angular, RESTful API, React, GitLab, Webpack, Git, CSS, Express.js",M.Tech in Computer Science at IISc Bangalore,2001,61.92,90.27,67.49,off School,last Higher Secondary School,1996,1997,0
Ishita,13,"GitHub, LESS, SASS, Git, Flask, GraphQL, Bootstrap, Angular",MCA in Computer Science at IIT Bombay,2003,62.06,81.92,66.77,improve School,control Higher Secondary School,2000,2001,0
Mira,10,"jQuery, Express.js, Angular, Bootstrap, SASS, Git, RESTful API, Flask",B.Tech in Computer Science at IIM Calcutta,2004,69.62,66.8,77.9,weight School,environment Higher Secondary School,2000,2002,0
Mira,12,"Git, SASS, GraphQL, Vue.js, Bootstrap, LESS, RESTful API, jQuery",B.E in Computer Science at IISc Bangalore,2018,64.22,81.43,85.26,player School,moment Higher Secondary School,2013,2015,0
Aisha,11,"HTML, GitHub, CSS, GraphQL, Angular, Express.js, jQuery, GitLab",BCA in Computer Science at IIFT Delhi,2009,80.56,70.65,72.25,pattern School,education Higher Secondary School,2007,2008,1
Anaya,12,"GitLab, LESS, Express.js, jQuery, Webpack, Vue.js, Git, GitHub",M.Tech in Computer Science at IIM Bangalore,2019,62.73,60.24,74.73,weight School,see Higher Secondary School,2017,2018,0
Aditi,6,"Git, CSS, LESS, Angular, Django, RESTful API, Node.js, React",B.Tech in Computer Science at IIT Delhi,2009,91.01,77.74,82.01,night School,image Higher Secondary School,2004,2005,1
Diya,9,"Angular, JavaScript, CSS, Express.js, Webpack, Vue.js, GitHub, HTML",M.Tech in Computer Science at Jawaharlal Nehru University,2007,69.2,67.64,72.27,campaign School,simply Higher Secondary School,2002,2006,0
Rahul,13,"CSS, GitHub, Node.js, Angular, Webpack, LESS, HTML, RESTful API",B.Tech in Computer Science at Delhi University,2009,65.27,86.28,69.48,myself School,environmental Higher Secondary School,2006,2008,0
Anaya,13,"JavaScript, Angular, Node.js, HTML, CSS, RESTful API, GitHub, jQuery",M.E in Computer Science at IIT Delhi,2002,72.86,86.59,64.67,scene School,treatment Higher Secondary School,1999,1998,0
Aarav,0,"Bootstrap, RESTful API, GitLab, Responsive Web Design, Git, JavaScript, Webpack, jQuery",BCA in Computer Science at IIM Bangalore,2010,74.68,89.63,78.08,likely School,inside Higher Secondary School,2007,2007,0
Pranav,12,"Responsive Web Design, Flask, Django, Node.js, GitHub, React, SASS, HTML",BCA in Computer Science at IIM Ahmedabad,2009,73.65,79.01,90.25,once School,PM Higher Secondary School,2004,2005,1
Sanya,10,"Angular, JavaScript, Webpack, SASS, GitHub, Responsive Web Design, GitLab, jQuery",B.Tech in Computer Science at IIT Bombay,2005,90.04,87.02,62.89,of School,establish Higher Secondary School,2003,2002,0
Yash,4,"JavaScript, GitLab, CSS, Webpack, Express.js, GraphQL, Vue.js, Angular",M.E in Computer Science at Anna University,2003,81.34,74.08,93.15,half School,instead Higher Secondary School,2000,2001,0
Diya,9,"Vue.js, GraphQL, Git, GitLab, LESS, jQuery, HTML, SASS",MCA in Computer Science at IIT Roorkee,2006,84.75,67.14,65.3,minute School,voice Higher Secondary School,2002,2003,0
Aryan,8,"Bootstrap, Vue.js, JavaScript, Git, Webpack, Django, Angular, Responsive Web Design",B.Tech in Computer Science at NIT Trichy,2016,68.4,71.41,72.82,region School,carry Higher Secondary School,2012,2012,0
Rahul,3,"Git, jQuery, Webpack, HTML, Flask, LESS, JavaScript, SASS",BCA in Computer Science at IIT Kanpur,2018,90.27,92.78,91.1,eye School,break Higher Secondary School,2016,2014,0
Arjun,13,"Vue.js, SASS, GitHub, Flask, React, Angular, Node.js, GitLab",B.Tech in Computer Science at NIT Trichy,2020,62.24,61.63,67.38,owner School,good Higher Secondary School,2015,2016,0
Anaya,6,"Flask, jQuery, React, Angular, HTML, LESS, SASS, Node.js",M.Tech in Computer Science at IIT Delhi,2005,67.43,66.24,60.99,loss School,away Higher Secondary School,2002,2001,0
Sanya,12,"jQuery, Webpack, RESTful API, Express.js, React, GraphQL, Angular, Django",BCA in Computer Science at IIM Ahmedabad,2014,69.8,80.0,83.02,structure School,assume Higher Secondary School,2012,2011,0
Anaya,0,"GitLab, Vue.js, Webpack, SASS, Angular, Flask, Bootstrap, GitHub",M.E in Computer Science at IIT Roorkee,2008,88.48,75.57,69.21,somebody School,require Higher Secondary School,2006,2005,0
Neha,12,"RESTful API, jQuery, JavaScript, React, Node.js, Django, Flask, CSS",BCA in Computer Science at IIT Bombay,2001,89.57,94.49,61.38,pressure School,so Higher Secondary School,1997,1997,0
Pranav,14,"GitLab, SASS, Flask, LESS, Express.js, Webpack, Angular, React",MCA in Computer Science at IIT Delhi,2009,76.76,63.19,75.22,guy School,enough Higher Secondary School,2006,2005,0
Rohan,14,"Angular, LESS, Git, Bootstrap, GraphQL, SASS, jQuery, HTML",MCA in Computer Science at IIT Bombay,2016,88.2,79.16,61.77,couple School,sort Higher Secondary School,2011,2014,0
Pranav,8,"Webpack, GitLab, Express.js, RESTful API, jQuery, LESS, HTML, GraphQL",B.Tech in Computer Science at IIM Lucknow,2000,92.8,73.59,88.32,effort School,condition Higher Secondary School,1998,1999,1
Aryan,5,"LESS, jQuery, JavaScript, GitLab, Flask, Angular, RESTful API, GitHub",M.Tech in Computer Science at NIT Trichy,2022,65.63,80.46,94.49,quite School,low Higher Secondary School,2018,2018,0
Aryan,5,"Node.js, Vue.js, jQuery, Express.js, Webpack, Angular, Bootstrap, GraphQL",B.E in Computer Science at IIM Bangalore,2010,89.04,86.26,60.66,time School,man Higher Secondary School,2006,2009,0
Pranav,7,"RESTful API, GitLab, Django, Flask, CSS, Bootstrap, Express.js, GitHub",M.Tech in Computer Science at Delhi University,2020,66.76,69.48,82.43,moment School,commercial Higher Secondary School,2017,2018,0
Kiran,14,"GraphQL, Git, CSS, SASS, GitHub, Node.js, GitLab, Express.js",BCA in Computer Science at IIM Lucknow,2010,82.49,75.12,71.82,board School,open Higher Secondary School,2006,2006,1
Yash,9,"Flask, RESTful API, Bootstrap, Django, SASS, GitLab, Vue.js, Express.js",B.E in Computer Science at IIT Delhi,2003,88.83,93.1,65.22,often School,no Higher Secondary School,2000,2000,0
Aryan,4,"jQuery, Vue.js, Node.js, HTML, Flask, Express.js, GitLab, SASS",M.E in Computer Science at IIM Calcutta,2022,78.67,65.76,81.97,detail School,type Higher Secondary School,2018,2018,0
Ravi,9,"Webpack, LESS, Vue.js, HTML, JavaScript, Node.js, SASS, Django",B.Tech in Computer Science at Jawaharlal Nehru University,2004,78.42,90.78,72.69,claim School,pay Higher Secondary School,1999,2002,1
Rahul,10,"Vue.js, Angular, SASS, Git, LESS, Webpack, Responsive Web Design, HTML",BCA in Computer Science at IIT Roorkee,2001,60.38,68.3,76.45,everything School,lay Higher Secondary School,1997,1997,0
Aditi,0,"jQuery, Bootstrap, Flask, CSS, Vue.js, GitHub, JavaScript, Node.js",B.E in Computer Science at Jawaharlal Nehru University,2009,94.04,81.79,85.94,project School,majority Higher Secondary School,2006,2007,0
Vikram,5,"Vue.js, Node.js, LESS, Angular, CSS, React, jQuery, Git",B.Tech in Computer Science at IIFT Delhi,2015,92.55,85.27,84.36,trial School,make Higher Secondary School,2010,2013,1
Ishita,8,"CSS, GitHub, React, RESTful API, Git, HTML, LESS, jQuery",MCA in Computer Science at IIM Bangalore,2011,84.26,63.26,65.75,animal School,tough Higher Secondary School,2008,2008,0
Mira,0,"CSS, Webpack, Angular, GitHub, GraphQL, Node.js, GitLab, Bootstrap",BCA in Computer Science at IIFT Delhi,2008,76.07,63.64,81.64,choice School,subject Higher Secondary School,2003,2004,0
Aisha,2,"RESTful API, Git, Node.js, LESS, SASS, JavaScript, GitHub, HTML",M.E in Computer Science at IIM Bangalore,2017,90.33,66.0,87.63,black School,poor Higher Secondary School,2014,2016,0
Arjun,2,"LESS, Bootstrap, Responsive Web Design, jQuery, RESTful API, Node.js, GitLab, Git",MCA in Computer Science at IIM Bangalore,2005,85.73,86.38,62.99,section School,your Higher Secondary School,2002,2003,0
Ishita,15,"Django, Responsive Web Design, Flask, SASS, Git, GraphQL, Vue.js, Express.js",M.E in Computer Science at IIM Calcutta,2014,79.97,66.92,89.23,agree School,listen Higher Secondary School,2009,2013,0
Varun,12,"Webpack, Django, Vue.js, Responsive Web Design, Git, LESS, Angular, JavaScript",BCA in Computer Science at Jawaharlal Nehru University,2012,72.68,71.17,80.16,find School,network Higher Secondary School,2010,2010,1
Ishita,3,"Django, CSS, Node.js, Webpack, GitHub, GraphQL, Vue.js, Flask",B.E in Computer Science at IIT Bombay,2020,63.36,63.6,87.71,city School,personal Higher Secondary School,2017,2019,0
Mira,11,"GraphQL, LESS, Responsive Web Design, Flask, Node.js, Express.js, Angular, HTML",M.E in Computer Science at Delhi University,2018,92.41,92.46,90.75,change School,simple Higher Secondary School,2013,2017,1
Ishita,4,"React, Git, Webpack, jQuery, Vue.js, CSS, SASS, LESS",M.E in Computer Science at Anna University,2007,64.15,84.56,74.43,include School,within Higher Secondary School,2005,2003,0
Aarav,14,"Bootstrap, Flask, Angular, React, Git, Node.js, Express.js, Responsive Web Design",B.E in Computer Science at Delhi University,2010,84.26,61.85,85.83,picture School,air Higher Secondary School,2007,2009,0
Aarav,1,"JavaScript, GitHub, Responsive Web Design, GraphQL, Express.js, Django, Node.js, Flask",MCA in Computer Science at IIT Roorkee,2007,78.64,80.56,82.47,like School,value Higher Secondary School,2004,2003,0
Ravi,9,"LESS, Express.js, RESTful API, HTML, Git, Flask, jQuery, CSS",B.E in Computer Science at IIT Delhi,2001,89.53,91.6,61.33,once School,cover Higher Secondary School,1996,1998,0
Pranav,11,"Express.js, jQuery, CSS, HTML, SASS, GitLab, Node.js, GitHub",M.Tech in Computer Science at Anna University,2006,71.95,74.27,75.68,vote School,each Higher Secondary School,2003,2005,1
Aarav,2,"jQuery, GitHub, Responsive Web Design, Vue.js, Flask, Angular, LESS, Express.js",MCA in Computer Science at IIM Lucknow,2004,81.15,70.29,76.75,with School,pull Higher Secondary School,2002,2003,0
Varun,0,"Git, SASS, GraphQL, Angular, Bootstrap, Webpack, React, JavaScript",M.E in Computer Science at IIT Roorkee,2003,73.59,64.22,66.38,us School,vote Higher Secondary School,2001,2001,0
Mira,13,"Responsive Web Design, CSS, Angular, GitLab, React, HTML, Git, Node.js",M.E in Computer Science at IIT Madras,2021,88.92,67.6,61.62,special School,necessary Higher Secondary School,2019,2019,0
Diya,5,"GitHub, jQuery, JavaScript, Git, Bootstrap, Express.js, Flask, SASS",B.Tech in Computer Science at IIT Kanpur,2000,65.37,89.47,63.88,population School,woman Higher Secondary School,1995,1997,0
Anaya,7,"GitLab, GitHub, Express.js, LESS, HTML, Git, Django, RESTful API",BCA in Computer Science at NIT Trichy,2011,89.03,94.81,91.86,resource School,put Higher Secondary School,2009,2008,1
Ishita,10,"Git, Angular, Responsive Web Design, Node.js, RESTful API, GitLab, SASS, CSS",BCA in Computer Science at IIFT Delhi,2011,67.36,76.4,91.83,yeah School,drug Higher Secondary School,2009,2010,0
Aditi,15,"Express.js, GitHub, Responsive Web Design, GraphQL, Angular, React, Django, Git",M.E in Computer Science at IIT Roorkee,2008,65.73,81.49,83.98,director School,specific Higher Secondary School,2005,2006,0
Vikram,6,"Webpack, GitHub, SASS, jQuery, Git, Responsive Web Design, Bootstrap, GraphQL",B.Tech in Computer Science at BITS Pilani,2011,71.18,60.48,92.8,third School,behavior Higher Secondary School,2006,2008,0
Anaya,10,"Git, Bootstrap, GraphQL, Django, LESS, GitHub, RESTful API, Node.js",B.Tech in Computer Science at IIT Bombay,2019,94.44,92.21,80.8,pay School,always Higher Secondary School,2014,2018,1
Ishita,14,"GraphQL, SASS, Git, Responsive Web Design, HTML, RESTful API, Node.js, Bootstrap",B.Tech in Computer Science at NIT Trichy,2000,90.76,70.12,67.78,black School,thing Higher Secondary School,1996,1997,0
Ishika,8,"Flask, Git, GraphQL, Webpack, GitLab, Django, GitHub, HTML",M.Tech in Computer Science at Delhi University,2015,87.57,69.8,80.92,sort School,kitchen Higher Secondary School,2011,2011,0
Mira,13,"GitLab, Node.js, CSS, GraphQL, Bootstrap, Django, HTML, Angular",BCA in Computer Science at IIFT Delhi,2002,74.2,81.82,74.23,finally School,firm Higher Secondary School,1999,2000,1
Kiran,8,"Django, Responsive Web Design, jQuery, SASS, RESTful API, GraphQL, Git, Express.js",B.E in Computer Science at IIT Madras,2003,87.89,65.97,66.41,others School,human Higher Secondary School,2000,2002,0
Yash,9,"HTML, LESS, CSS, Bootstrap, Django, JavaScript, Responsive Web Design, Flask",M.E in Computer Science at IIT Roorkee,2015,64.26,79.74,85.99,expect School,country Higher Secondary School,2013,2011,0
Ishita,5,"RESTful API, Express.js, GitLab, LESS, Git, Webpack, CSS, Bootstrap",BCA in Computer Science at Anna University,2003,72.4,60.27,90.03,deep School,away Higher Secondary School,2000,2000,0
Ishita,0,"Flask, CSS, Django, Express.js, Webpack, React, GitLab, RESTful API",B.Tech in Computer Science at IIT Madras,2018,74.53,78.98,80.17,reflect School,recognize Higher Secondary School,2016,2015,0
Diya,12,"Express.js, Django, GitLab, LESS, Flask, Angular, React, GraphQL",M.Tech in Computer Science at IIT Delhi,2015,62.86,82.56,62.9,strong School,miss Higher Secondary School,2010,2014,0
Mira,6,"Node.js, Vue.js, HTML, JavaScript, React, Responsive Web Design, GitLab, LESS",B.E in Computer Science at NIT Trichy,2003,65.2,69.47,83.81,toward School,environmental Higher Secondary School,2000,1999,0
Neha,10,"Vue.js, Django, SASS, Node.js, HTML, LESS, CSS, Angular",B.E in Computer Science at IIT Bombay,2001,66.45,60.47,75.94,guess School,spend Higher Secondary School,1999,1999,0
Vikram,2,"Express.js, LESS, GitLab, RESTful API, Django, jQuery, Git, Node.js",B.Tech in Computer Science at IIM Lucknow,2017,63.05,72.5,61.2,often School,deep Higher Secondary School,2014,2013,0
