name,years_experience,skills,education,graduation_year,graduation_percentage,tenth_percentage,twelfth_percentage,tenth_school,twelfth_school,tenth_passing_out_year,twelfth_passing_out_year,extracurricular_activities,companies_worked,interpersonal_skills,Criteria_Label
Vikram,1,"Use Case Analysis, SWOT Analysis, Tableau, Agile Methodology, Data Analysis, Data Visualization, Project Management, Stakeholder Management",PGDM in Business Administration at Jawaharlal Nehru University,2008,89.32,60.56,84.3,federal School,sport Higher Secondary School,2005,2006,"Art Club, Drama Club, Debate Club",Bain & Company,"Problem-solving, Conflict Resolution, Empathy",0
Rohan,6,"Project Management, Microsoft Excel, Requirements Gathering, Agile Methodology, Data Visualization, User Acceptance Testing (UAT), Data Analysis, Tableau",BBA in Business Administration at IIT Madras,2015,87.7,90.94,94.99,possible School,simple Higher Secondary School,2011,2014,"Literary Club, Volunteering, Chess Club",Facebook,"Time Management, Communication, Creativity, Conflict Resolution",1
Ravi,13,"Financial Modeling, Gap Analysis, Use Case Analysis, Process Improvement, Risk Analysis, Data Analysis, Tableau, Market Research",MBA in Business Administration at IIM Ahmedabad,2003,85.69,73.6,91.01,office School,sometimes Higher Secondary School,1998,2000,Science Club,"Accenture, Infosys","Empathy, Leadership, Time Management, Decision Making",1
Arjun,14,"User Acceptance Testing (UAT), Stakeholder Management, SWOT Analysis, Agile Methodology, Data Visualization, Market Research, Tableau, Data Analysis",PGDM in Business Administration at IIT Madras,2011,71.92,61.01,86.46,present School,beat Higher Secondary School,2006,2007,,BCG,"Creativity, Negotiation, Conflict Resolution",0
Pranav,15,"Agile Methodology, Stakeholder Management, Risk Analysis, Market Research, Gap Analysis, Requirements Gathering, Microsoft Excel, Financial Modeling",MBA in Business Administration at IIFT Delhi,2000,84.35,87.56,76.25,mouth School,throughout Higher Secondary School,1998,1996,"Music Club, Coding Club, Robotics Club, Science Club",IBM,"Active Listening, Decision Making, Conflict Resolution",1
Arjun,4,"Data Analysis, Requirements Gathering, Process Improvement, Agile Methodology, Financial Modeling, SQL, Use Case Analysis, User Acceptance Testing (UAT)",MBA in Business Administration at IIT Roorkee,2009,75.74,65.34,64.94,debate School,test Higher Secondary School,2007,2006,"Science Club, Robotics Club, Language Club, Sports, Coding Club",Facebook,"Conflict Resolution, Negotiation, Empathy, Persuasion, Problem-solving",0
Rohan,12,"SWOT Analysis, Stakeholder Management, User Acceptance Testing (UAT), Use Case Analysis, Business Intelligence, Gap Analysis, Tableau, Financial Modeling",MBA in Business Administration at IIT Bombay,2002,81.73,87.51,81.14,thought School,send Higher Secondary School,1998,1999,"Community Service, Student Government, Debate Club, Art Club","Amazon, Oracle, Goldman Sachs","Communication, Problem-solving",1
Ishika,13,"SWOT Analysis, Project Management, Stakeholder Management, Agile Methodology, SQL, Financial Modeling, User Acceptance Testing (UAT), Microsoft Excel",BBA in Business Administration at IIT Delhi,2010,64.87,73.73,80.0,both School,defense Higher Secondary School,2006,2009,"Volunteering, Science Club, Music Club, Language Club",Ernst & Young,"Teamwork, Adaptability, Negotiation",0
Ravi,3,"Power BI, Requirements Gathering, Tableau, Use Case Analysis, Project Management, Business Intelligence, Process Improvement, Stakeholder Management",PGDM in Business Administration at BITS Pilani,2003,62.55,93.21,70.28,population School,week Higher Secondary School,1999,2001,"Music Club, Science Club",Microsoft,"Adaptability, Creativity, Time Management",0
Aarav,7,"Microsoft Excel, Use Case Analysis, SWOT Analysis, Tableau, Gap Analysis, Market Research, Requirements Gathering, User Acceptance Testing (UAT)",B.Com in Business Administration at IIM Bangalore,2016,80.16,62.29,62.49,together School,citizen Higher Secondary School,2012,2012,"Art Club, Robotics Club, Science Club, Chess Club, Volunteering","Deloitte, Facebook, McKinsey & Company","Teamwork, Negotiation, Communication, Leadership",0
Varun,8,"SQL, SWOT Analysis, Process Improvement, Project Management, Gap Analysis, Business Intelligence, Microsoft Excel, Requirements Gathering",PGDM in Business Administration at Jawaharlal Nehru University,2012,66.68,91.52,91.39,while School,major Higher Secondary School,2008,2010,"Music Club, Drama Club, Chess Club, Debate Club",Goldman Sachs,"Communication, Conflict Resolution, Adaptability, Time Management, Active Listening",0
Aryan,2,"Data Analysis, Process Improvement, Power BI, Gap Analysis, Tableau, Business Intelligence, Data Visualization, SQL",BBA in Business Administration at IIT Bombay,2001,71.71,92.02,89.57,far School,little Higher Secondary School,1997,1997,Volunteering,"Apple, Goldman Sachs, Microsoft","Empathy, Adaptability",0
Ravi,5,"Process Improvement, Stakeholder Management, Financial Modeling, Market Research, Microsoft Excel, Data Analysis, Agile Methodology, Power BI",B.Com in Business Administration at IIFT Delhi,2004,70.63,83.67,84.46,teach School,instead Higher Secondary School,1999,2000,,"PwC, KPMG, Accenture","Decision Making, Adaptability, Teamwork, Conflict Resolution",1
Ishika,15,"Project Management, Microsoft Excel, Agile Methodology, Data Analysis, SWOT Analysis, Data Visualization, Process Improvement, Financial Modeling",MBA in Business Administration at NIT Warangal,2020,81.96,71.28,61.43,make School,bed Higher Secondary School,2017,2016,"Drama Club, Chess Club, Student Government, Sports",Goldman Sachs,"Creativity, Persuasion",0
Diya,10,"Requirements Gathering, Tableau, Financial Modeling, SQL, Project Management, Data Visualization, Market Research, Use Case Analysis",MBA in Business Administration at NIT Warangal,2009,90.56,61.72,62.64,go School,watch Higher Secondary School,2004,2007,,"Accenture, BCG, Bain & Company","Leadership, Active Listening, Communication, Adaptability",0
Aisha,9,"Financial Modeling, Agile Methodology, Risk Analysis, Gap Analysis, Requirements Gathering, SWOT Analysis, Microsoft Excel, Power BI",MBA in Business Administration at Jawaharlal Nehru University,2005,87.0,81.09,86.14,figure School,big Higher Secondary School,2000,2004,,Infosys,"Teamwork, Persuasion, Negotiation, Active Listening, Communication",1
Aisha,8,"Use Case Analysis, Project Management, SQL, Agile Methodology, Gap Analysis, Data Visualization, Tableau, User Acceptance Testing (UAT)",B.Com in Business Administration at IIT Delhi,2004,75.83,63.56,78.22,down School,offer Higher Secondary School,2000,2002,"Art Club, Community Service, Robotics Club, Student Government, Volunteering","Bain & Company, PwC","Problem-solving, Adaptability, Leadership",0
Ishita,8,"Microsoft Excel, SWOT Analysis, Risk Analysis, Use Case Analysis, Power BI, Process Improvement, User Acceptance Testing (UAT), Financial Modeling",BBA in Business Administration at Anna University,2020,70.48,87.99,86.08,decide School,certainly Higher Secondary School,2017,2019,"Community Service, Language Club","Deloitte, Google","Leadership, Creativity, Empathy, Conflict Resolution",1
Neha,7,"Financial Modeling, Microsoft Excel, Use Case Analysis, Risk Analysis, Power BI, Requirements Gathering, Tableau, Data Visualization",MBA in Business Administration at IIT Kharagpur,2000,66.13,94.62,80.92,then School,ahead Higher Secondary School,1995,1998,"Drama Club, Community Service, Robotics Club, Coding Club",PwC,"Persuasion, Creativity, Negotiation, Communication",0
Anaya,12,"Process Improvement, SQL, Requirements Gathering, Gap Analysis, Project Management, Data Visualization, Market Research, Use Case Analysis",PGDM in Business Administration at BITS Pilani,2002,64.21,68.01,63.55,ten School,party Higher Secondary School,1998,1998,"Debate Club, Music Club","Ernst & Young, Facebook, Apple","Persuasion, Time Management",0
Ishita,11,"Business Intelligence, Data Analysis, Process Improvement, Project Management, Stakeholder Management, Data Visualization, Use Case Analysis, Requirements Gathering",BBA in Business Administration at IIM Ahmedabad,2004,92.17,76.9,87.28,check School,wide Higher Secondary School,2001,2003,,TCS,"Leadership, Teamwork, Time Management",1
Aisha,6,"Financial Modeling, Microsoft Excel, Stakeholder Management, Use Case Analysis, Tableau, Project Management, SWOT Analysis, Business Intelligence",MBA in Business Administration at IISc Bangalore,2001,73.48,61.13,78.89,American School,far Higher Secondary School,1999,2000,Sports,"BCG, Oracle, KPMG","Persuasion, Decision Making, Communication, Creativity",0
Diya,8,"Microsoft Excel, Power BI, Requirements Gathering, Financial Modeling, Market Research, User Acceptance Testing (UAT), Process Improvement, Stakeholder Management",B.Com in Business Administration at IIT Kharagpur,2019,65.93,81.01,69.54,almost School,hard Higher Secondary School,2017,2015,,"IBM, Facebook","Negotiation, Active Listening",0
Rohan,14,"Project Management, Tableau, Financial Modeling, Requirements Gathering, Business Intelligence, Market Research, User Acceptance Testing (UAT), Stakeholder Management",PGDM in Business Administration at IIM Lucknow,2016,90.43,79.15,92.11,site School,eat Higher Secondary School,2012,2012,Sports,"Accenture, Infosys","Leadership, Persuasion, Teamwork, Negotiation, Time Management",1
Anaya,2,"Microsoft Excel, Data Visualization, SQL, Use Case Analysis, Business Intelligence, User Acceptance Testing (UAT), Agile Methodology, Financial Modeling",B.Com in Business Administration at IIT Kharagpur,2011,76.75,70.03,89.48,beat School,quite Higher Secondary School,2008,2009,"Music Club, Sports, Language Club","Google, TCS","Adaptability, Communication",0
Vikram,1,"Financial Modeling, SWOT Analysis, Market Research, Power BI, SQL, Microsoft Excel, Stakeholder Management, Requirements Gathering",PGDM in Business Administration at IIM Calcutta,2009,87.05,90.84,74.7,whose School,color Higher Secondary School,2007,2005,,Microsoft,"Decision Making, Teamwork, Active Listening, Time Management",0
Diya,6,"Project Management, Stakeholder Management, User Acceptance Testing (UAT), Gap Analysis, Tableau, Financial Modeling, Requirements Gathering, Data Analysis",BBA in Business Administration at Jawaharlal Nehru University,2010,83.36,65.1,94.87,left School,create Higher Secondary School,2006,2009,"Sports, Student Government, Art Club, Drama Club, Robotics Club","IBM, McKinsey & Company","Empathy, Communication, Problem-solving, Decision Making",0
Yash,2,"Risk Analysis, User Acceptance Testing (UAT), Microsoft Excel, SWOT Analysis, SQL, Data Visualization, Market Research, Power BI",MBA in Business Administration at Anna University,2017,77.59,93.39,72.56,I School,which Higher Secondary School,2015,2014,Language Club,"Google, Bain & Company","Time Management, Communication, Decision Making",0
Sanya,8,"Microsoft Excel, Tableau, Market Research, Business Intelligence, User Acceptance Testing (UAT), Project Management, Power BI, Process Improvement",MBA in Business Administration at Jawaharlal Nehru University,2009,70.65,60.37,70.58,without School,truth Higher Secondary School,2005,2006,"Chess Club, Science Club, Community Service","Infosys, Facebook","Persuasion, Active Listening, Negotiation",0
Aarav,0,"Requirements Gathering, Gap Analysis, Use Case Analysis, Market Research, Risk Analysis, Data Analysis, Tableau, Process Improvement",B.Com in Business Administration at IIM Bangalore,2016,61.28,72.67,87.65,understand School,and Higher Secondary School,2011,2015,Volunteering,"Deloitte, KPMG, Infosys","Active Listening, Decision Making, Persuasion",0
Aditi,2,"Process Improvement, Business Intelligence, Data Visualization, SWOT Analysis, Financial Modeling, Requirements Gathering, Agile Methodology, SQL",PGDM in Business Administration at IIM Calcutta,2016,66.39,90.37,77.37,catch School,really Higher Secondary School,2013,2013,,"Microsoft, Google, IBM","Communication, Negotiation, Active Listening, Creativity",0
Aditi,13,"Gap Analysis, Project Management, Tableau, Use Case Analysis, Power BI, Risk Analysis, Data Analysis, Business Intelligence",B.Com in Business Administration at IIM Bangalore,2021,74.31,74.86,71.93,former School,say Higher Secondary School,2016,2019,"Robotics Club, Coding Club, Music Club, Chess Club, Student Government",Infosys,"Problem-solving, Creativity, Communication, Adaptability, Empathy",1
Diya,6,"Microsoft Excel, User Acceptance Testing (UAT), SQL, Requirements Gathering, Tableau, Business Intelligence, Gap Analysis, Data Analysis",BBA in Business Administration at Delhi University,2019,60.8,68.17,62.97,range School,more Higher Secondary School,2014,2015,"Literary Club, Science Club, Community Service, Coding Club, Drama Club","Microsoft, BCG","Problem-solving, Creativity",0
Ishita,15,"Business Intelligence, Project Management, Tableau, Data Visualization, SWOT Analysis, Microsoft Excel, Market Research, SQL",B.Com in Business Administration at BITS Pilani,2000,93.33,85.5,93.32,whether School,body Higher Secondary School,1997,1999,"Art Club, Coding Club, Drama Club, Student Government, Music Club",Google,"Leadership, Time Management",1
Pranav,1,"Tableau, User Acceptance Testing (UAT), Stakeholder Management, Financial Modeling, Agile Methodology, Gap Analysis, Requirements Gathering, SWOT Analysis",PGDM in Business Administration at IIT Kanpur,2002,87.14,81.17,60.49,market School,politics Higher Secondary School,2000,2001,Volunteering,"PwC, Goldman Sachs","Conflict Resolution, Communication, Teamwork, Decision Making, Time Management",0
Kiran,15,"Financial Modeling, Business Intelligence, User Acceptance Testing (UAT), SQL, Risk Analysis, Requirements Gathering, Use Case Analysis, Project Management",BBA in Business Administration at IIM Bangalore,2013,81.82,85.64,80.6,defense School,close Higher Secondary School,2011,2012,"Coding Club, Literary Club, Language Club","Amazon, Ernst & Young","Teamwork, Active Listening, Problem-solving, Leadership",1
Varun,9,"Project Management, Business Intelligence, Process Improvement, User Acceptance Testing (UAT), Data Visualization, Requirements Gathering, Microsoft Excel, Use Case Analysis",BBA in Business Administration at IIT Roorkee,2020,62.95,91.9,61.94,marriage School,live Higher Secondary School,2015,2016,"Robotics Club, Sports",IBM,"Time Management, Leadership",0
Diya,4,"Agile Methodology, SQL, Data Visualization, Data Analysis, Use Case Analysis, Market Research, Financial Modeling, Business Intelligence",BBA in Business Administration at IIT Madras,2016,62.05,94.49,63.66,spring School,affect Higher Secondary School,2014,2015,"Volunteering, Science Club, Art Club","Bain & Company, Goldman Sachs, McKinsey & Company","Empathy, Adaptability, Leadership",0
Yash,13,"Microsoft Excel, Business Intelligence, Data Analysis, Financial Modeling, User Acceptance Testing (UAT), Process Improvement, Market Research, Project Management",BBA in Business Administration at NIT Warangal,2006,85.18,70.19,80.65,anything School,defense Higher Secondary School,2002,2005,Literary Club,Microsoft,"Active Listening, Problem-solving, Teamwork, Leadership, Communication",1
Rahul,7,"Stakeholder Management, Market Research, SQL, Project Management, Agile Methodology, Use Case Analysis, SWOT Analysis, Tableau",PGDM in Business Administration at NIT Warangal,2002,73.4,94.82,85.98,also School,idea Higher Secondary School,2000,1999,"Sports, Chess Club, Drama Club, Coding Club, Community Service","Bain & Company, PwC","Negotiation, Empathy",1
Diya,7,"Use Case Analysis, Data Analysis, Risk Analysis, Agile Methodology, Power BI, Market Research, Tableau, Financial Modeling",B.Com in Business Administration at Jawaharlal Nehru University,2010,63.22,74.34,94.68,single School,this Higher Secondary School,2008,2007,"Science Club, Community Service",TCS,"Communication, Negotiation, Teamwork",0
Rohan,3,"Project Management, Financial Modeling, Agile Methodology, Data Visualization, SWOT Analysis, Tableau, User Acceptance Testing (UAT), Power BI",PGDM in Business Administration at IIT Kharagpur,2018,81.18,76.62,87.34,place School,draw Higher Secondary School,2014,2015,"Literary Club, Student Government, Art Club, Chess Club","Facebook, BCG","Decision Making, Persuasion, Time Management",0
Ishika,7,"Business Intelligence, Data Analysis, Data Visualization, Power BI, Stakeholder Management, Market Research, Process Improvement, Project Management",BBA in Business Administration at IIT Kharagpur,2017,93.43,65.39,85.76,lead School,result Higher Secondary School,2014,2015,"Literary Club, Student Government, Volunteering","Infosys, Facebook","Adaptability, Leadership, Communication",0
Vikram,6,"Tableau, Market Research, Gap Analysis, Use Case Analysis, Financial Modeling, Project Management, Process Improvement, SWOT Analysis",PGDM in Business Administration at IISc Bangalore,2009,90.07,71.53,76.94,situation School,message Higher Secondary School,2004,2008,"Language Club, Drama Club, Coding Club",Amazon,"Leadership, Decision Making, Teamwork",1
Rahul,2,"Business Intelligence, Requirements Gathering, Market Research, Risk Analysis, Use Case Analysis, Agile Methodology, Microsoft Excel, Power BI",MBA in Business Administration at IIFT Delhi,2017,74.39,77.16,66.35,think School,peace Higher Secondary School,2014,2013,"Student Government, Music Club, Language Club, Chess Club","TCS, Bain & Company","Decision Making, Time Management, Communication",0
Yash,9,"Requirements Gathering, Data Analysis, Project Management, Agile Methodology, Use Case Analysis, Stakeholder Management, Power BI, Financial Modeling",B.Com in Business Administration at IIFT Delhi,2002,89.9,88.72,84.11,fund School,phone Higher Secondary School,1998,1998,Community Service,"Goldman Sachs, KPMG, PwC","Time Management, Creativity, Negotiation, Teamwork",1
Kiran,6,"Financial Modeling, Data Visualization, User Acceptance Testing (UAT), Agile Methodology, Requirements Gathering, Market Research, Project Management, SQL",MBA in Business Administration at IIM Lucknow,2006,77.17,75.88,92.53,reveal School,ten Higher Secondary School,2001,2002,"Art Club, Coding Club, Literary Club, Language Club, Volunteering",Google,"Teamwork, Persuasion, Problem-solving, Active Listening",1
Kiran,5,"Use Case Analysis, SWOT Analysis, User Acceptance Testing (UAT), Project Management, Data Visualization, Business Intelligence, Data Analysis, Risk Analysis",PGDM in Business Administration at Jawaharlal Nehru University,2009,71.33,65.98,63.56,read School,mind Higher Secondary School,2007,2005,"Robotics Club, Drama Club","TCS, Oracle","Time Management, Persuasion, Negotiation, Empathy, Problem-solving",0
Diya,5,"SWOT Analysis, Requirements Gathering, Agile Methodology, Use Case Analysis, Project Management, Financial Modeling, Power BI, Risk Analysis",PGDM in Business Administration at NIT Warangal,2002,77.66,82.27,67.51,with School,indeed Higher Secondary School,1999,1998,"Robotics Club, Art Club","Bain & Company, Oracle, Infosys","Conflict Resolution, Negotiation",0
Aarav,10,"Business Intelligence, Requirements Gathering, Process Improvement, Data Analysis, Microsoft Excel, Agile Methodology, SWOT Analysis, Risk Analysis",PGDM in Business Administration at IIFT Delhi,2015,66.4,71.23,78.82,late School,opportunity Higher Secondary School,2011,2013,"Volunteering, Language Club","Deloitte, TCS, IBM","Persuasion, Empathy, Creativity, Teamwork, Adaptability",0
Ishita,15,"Agile Methodology, Project Management, SQL, Gap Analysis, User Acceptance Testing (UAT), Risk Analysis, Microsoft Excel, Data Visualization",B.Com in Business Administration at IIM Ahmedabad,2001,93.62,66.52,73.52,conference School,difference Higher Secondary School,1997,2000,,McKinsey & Company,"Conflict Resolution, Teamwork, Empathy, Problem-solving",0
Yash,10,"SQL, Project Management, Agile Methodology, Tableau, Business Intelligence, Financial Modeling, Microsoft Excel, Power BI",PGDM in Business Administration at BITS Pilani,2014,61.44,62.06,81.47,behind School,long Higher Secondary School,2010,2012,Debate Club,"BCG, Goldman Sachs, IBM","Leadership, Negotiation",0
Aarav,7,"Use Case Analysis, Financial Modeling, Stakeholder Management, Power BI, Data Visualization, User Acceptance Testing (UAT), SWOT Analysis, Business Intelligence",BBA in Business Administration at NIT Trichy,2020,93.32,93.58,72.32,try School,far Higher Secondary School,2016,2016,Language Club,"Apple, Deloitte, McKinsey & Company","Adaptability, Decision Making, Active Listening, Creativity",1
Neha,11,"Microsoft Excel, User Acceptance Testing (UAT), SQL, Project Management, Business Intelligence, Power BI, Risk Analysis, Tableau",MBA in Business Administration at Delhi University,2013,68.53,67.06,79.8,hot School,play Higher Secondary School,2010,2012,"Volunteering, Student Government, Art Club, Literary Club, Community Service","KPMG, Ernst & Young, Oracle","Empathy, Communication, Active Listening, Creativity, Negotiation",0
Varun,11,"SQL, Project Management, Process Improvement, SWOT Analysis, Market Research, Data Analysis, Requirements Gathering, User Acceptance Testing (UAT)",B.Com in Business Administration at IIM Lucknow,2017,73.38,71.94,72.46,skill School,song Higher Secondary School,2012,2014,Literary Club,Amazon,"Negotiation, Creativity, Leadership",1
Pranav,11,"Tableau, Risk Analysis, Use Case Analysis, Stakeholder Management, Data Analysis, User Acceptance Testing (UAT), Process Improvement, SWOT Analysis",MBA in Business Administration at IIT Bombay,2020,83.23,78.17,85.3,identify School,stop Higher Secondary School,2017,2017,"Music Club, Drama Club, Community Service","BCG, Apple","Adaptability, Communication, Persuasion, Teamwork",1
Kiran,10,"Project Management, Data Visualization, SWOT Analysis, Financial Modeling, Stakeholder Management, Power BI, Agile Methodology, Requirements Gathering",B.Com in Business Administration at IIT Bombay,2018,75.03,71.44,90.03,program School,attack Higher Secondary School,2016,2017,"Volunteering, Literary Club, Music Club",PwC,"Leadership, Teamwork, Empathy",1
Rohan,6,"SQL, Stakeholder Management, Agile Methodology, Microsoft Excel, Gap Analysis, Data Visualization, Business Intelligence, Requirements Gathering",B.Com in Business Administration at Delhi University,2007,86.46,92.94,65.36,place School,start Higher Secondary School,2004,2005,"Debate Club, Science Club, Volunteering, Art Club","Accenture, Goldman Sachs","Leadership, Negotiation, Conflict Resolution",0
Varun,3,"Gap Analysis, Market Research, Project Management, SQL, Use Case Analysis, User Acceptance Testing (UAT), Data Analysis, Power BI",MBA in Business Administration at IIFT Delhi,2008,80.38,91.4,65.07,authority School,off Higher Secondary School,2003,2005,"Literary Club, Chess Club, Sports",Apple,"Problem-solving, Active Listening, Decision Making, Empathy",0
Anaya,11,"User Acceptance Testing (UAT), Tableau, Stakeholder Management, Data Analysis, Use Case Analysis, Risk Analysis, SWOT Analysis, Data Visualization",PGDM in Business Administration at IIT Kanpur,2000,76.28,72.49,79.67,but School,view Higher Secondary School,1998,1996,Volunteering,McKinsey & Company,"Persuasion, Problem-solving, Adaptability",1
Arjun,5,"Data Visualization, Agile Methodology, Gap Analysis, Risk Analysis, Project Management, User Acceptance Testing (UAT), SWOT Analysis, Financial Modeling",BBA in Business Administration at IIT Roorkee,2003,62.96,93.88,79.34,campaign School,everything Higher Secondary School,1998,2000,,"Apple, Goldman Sachs","Persuasion, Problem-solving",0
Arjun,3,"Data Analysis, User Acceptance Testing (UAT), Requirements Gathering, SWOT Analysis, Risk Analysis, Process Improvement, Project Management, Power BI",PGDM in Business Administration at NIT Warangal,2021,64.65,93.92,82.47,cold School,sport Higher Secondary School,2018,2018,"Robotics Club, Student Government, Debate Club, Science Club","TCS, Google, Apple","Persuasion, Communication, Creativity, Conflict Resolution, Leadership",0
